 03312 +5320 -00330 0015 2 Rhyl                 GB 2
 03313 +5315 -00330 0077 2 Rhyl                 GB 2
 03314 +5313 -00313 0263 2 Moel-y-Crio          GB 2
 03316 +5330 -00304 0008 2 Crosby               GB 2
 03318 +5346 -00302 0010 2 Blackpool            GB 2
 03321 +5310 -00259 0010 2 Hawarden             GB 2
 03322 +5333 -00255 0054 2 Aughton              GB 2
 03329 +5337 -00231 0440 2 Winter Hill          GB 2
 03334 +5321 -00216 0078 2 Manchester           GB 2
 03335 +5323 +00041 0018 2 Sturgate             GB 2
 03338 +5302 -00205 0228 2 Cellarhead           GB 2
 03339 +5358 -00202 0158 2 Skipton              GB 2
 03340 +5332 -00152 0522 2 Holme Moss           GB 2
 03342 +5332 -00152 0524 2 Holme Moss           GB 2
 03344 +5349 -00152 0262 2 Bingley              GB 2
 03345 +5337 -00140 0259 2 Emley Moor           GB 2
 03347 +5348 -00133 0047 2 Leeds Weather        GB 2
 03354 +5300 -00115 0117 2 Nottingham           GB 2
 03355 +5350 -00112 0009 2 Church Fenton        GB 2
 03360 +5329 -00100 0017 2 Finningley           GB 2
 03373 +5318 -00033 0061 2 Scampton             GB 2
 03377 +5310 -00031 0070 2 Waddington           GB 2
 03379 +5302 -00030 0067 2 Cranwell             GB 2
 03384 +5352 -00026 0006 2 Leconfield           GB 2
 03386 +5330 +00004 0003 2 North Coates         GB 2
 03387 +5340 +00007 0010 2 Easington            GB 2
 03388 +5327 -00012 0108 2 Binrook              GB 2
 03391 +5305 -00010 0007 2 Coningsby            GB 2
 03392 +5305 +00016 0005 2 Wainfleet            GB 2
 03395 +5138 -00357 0091 2 Swansea              GB 2
 03402 +5249 -00438 0253 2 Mynydd Rhiw          GB 2
 03403 +5300 -00405 0053 2 Nantmor              GB 2
 03406 +5256 -00356 0193 2 Trawsfynydd          GB 2
 03408 +5257 -00325 0228 2 Cynwyd               GB 2
 03414 +5248 -00240 0076 2 Shawbury             GB 2
 03415 +5248 -00240 0074 2 Shawbury             GB 2
 03453 +5244 -00039 0138 2 Cottesmore           GB 2
 03461 +5237 -00028 0075 2 Wittering            GB 2
 03462 +5237 -00028 0084 2 Wittering            GB 2
 03469 +5252 +00009 0003 2 Holbeach             GB 2
 03482 +5239 +00034 0023 2 Marham               GB 2
 03488 +5257 +00108 0021 2 Weybourne            GB 2
 03492 +5238 +00118 0014 2 Norwich              GB 2
 03494 +5256 +00119 0044 2 Cromer               GB 2
 03495 +5246 +00121 0020 2 Coltishall           GB 2
 03496 +5241 +00141 0013 2 Hemsby               GB 2
 03498 +5307 +00014 0000 2 Wainfleet MET        GB 2
 03499 +5342 -00218 0092 2 Sm.Knoll             GB 2
 03501 +5525 -00400 0092 2 Capel Dewi           GB 2
 03502 +5208 -00434 0133 2 Aberporth            GB 2
 03503 +5221 -00357 0063 2 Trawscoed            GB 2
 03507 +5204 -00337 0309 2 Sennybridge          GB 2
 03511 +5226 -00307 0215 2 Newcastle            GB 2
 03521 +5202 -00251 0077 2 Madley               GB 2
 03525 +5205 -00218 0053 2 Malvern              GB 2
 03527 +5207 -00218 0046 2 Great Malvern        GB 2
 03529 +5209 -00202 0032 2 Pershore             GB 2
 03534 +5227 -00144 0099 2 Birmingham           GB 2
 03535 +5225 +00130 0082 2 Coventry             GB 2
 03544 +5222 -00120 0107 2 Church Lawford       GB 2
 03558 +5213 +00029 0089 2 Bedford              GB 2
 03559 +5212 +00009 0015 2 Cambridge            GB 2
 03560 +5213 -00029 0085 2 Bedford              GB 2
 03566 +5221 -00007 0041 2 Wyton                GB 2
 03586 +5220 +00046 0054 2 Honigton             GB 2
 03590 +5207 -00058 0087 2 Wattisham            GB 2
 03593 +5226 +00137 0022 2 Beccles              GB 2
 03603 +5153 -00507 0111 2 Brawdy               GB 2
 03604 +5142 -00503 0037 2 Milford              GB 2
 03607 +5145 -00431 0005 2 Pendine              GB 2
 03608 +5145 -00431 0005 2 Pendine              GB 2
 03609 +5134 -00359 0035 2 Mumbles              GB 2
 03610 +5155 -00319 0160 2 Pencelli             GB 2
 03613 +5145 -00320 0372 2 Cwmbargoed           GB 2
 03614 +5138 -00318 0194 2 Cilfynydd            GB 2
 03628 +5131 -00235 0069 2 Bristol              GB 2
 03640 +5200 +00000 0000 2 ?xx                  GB 2
 03647 +5152 -00141 0215 2 Rissington           GB 2
 03649 +5145 -00135 0088 2 Brize Norton         GB 2
 03657 +5137 -00106 0057 2 Benson               GB 2
 03658 +5137 -00105 0063 2 Benson               GB 2
 03670 +5137 -00024 0113 2 Northwood            GB 2
 03672 +5133 -00025 0040 2 Northolt             GB 2
 03683 +5153 +00014 0106 2 Stansted             GB 2
 03693 +5133 +00050 0002 2 Shoeburyness         GB 2
 03694 +5133 +00050 0002 2 Shoeburyness         GB 2
 03695 +5140 +00106 0008 2 Thames Tower         GB 2
 03696 +5151 +00117 0006 2 Walton-on-Naze       GB 2
 03700 +5130 -00500 0005 2 St.Gowan             GB 2
 03701 +5101 -00430 0126 2 Gawlish              GB 2
 03702 +5110 -00439 0043 2 Lundy                GB 2
 03707 +5105 -00409 0008 2 Chivenor             GB 2
 03712 +5112 -00332 0083 2 Tivington            GB 2
 03715 +5124 -00321 0067 2 Cardiff              GB 2
 03717 +5129 -00311 0009 2 Cardiff MET          GB 2
 03726 +5128 -00236 0011 2 Bristol MET          GB 2
 03740 +5130 -00159 0145 2 Lyneham              GB 2
